Student Name,College / University Name,Degree,Specialization,Graduation Year,Location,Skills,Certifications,Internship Experience,LinkedIn Profile URL
Tanvi Nair,NMIMS Mumbai,MBA,Finance,2024,Delhi NCR,"Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",Financial Modeling & Valuation Analyst (FMVA),None,https://www.linkedin.com/in/tanvi-nair-334
Siddharth Singh,Delhi University,MBA,Business Analytics,2024,"Hyderabad, Telangana","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Microsoft Certified: Power BI Data Analyst,Financial Analyst Intern at PwC (5 Months),https://www.linkedin.com/in/siddharth-singh-345
Rahul Sharma,IIM Bangalore,BBA,Digital Marketing,2026,"Chennai, Tamil Nadu","Social Media Marketing, Google Ads, Content Strategy, Copywriting",None,HR Generalist Intern at HDFC Bank (4 Months),https://www.linkedin.com/in/rahul-sharma-154
Gaurav Sen,FMS Delhi,MBA,Management Consulting,2025,"Bengaluru, Karnataka","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Operations Consultant Intern at PwC (5 Months),https://www.linkedin.com/in/gaurav-sen-679
Aditya Sen,Christ University,MBA,Management Consulting,2027,"Pune, Maharashtra","Strategic Frameworks, Case Analysis, Market Entry, Operations Strategy",None,Marketing Intern at Tata Consultancy Services (6 Months),https://www.linkedin.com/in/aditya-sen-922
Kriti Mishra,IIM Ahmedabad,MBA,Business Analytics,2027,"Hyderabad, Telangana","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",SQL Advanced Certificate,HR Generalist Intern at HDFC Bank (6 Months),https://www.linkedin.com/in/kriti-mishra-609
Arjun Sen,IIM Calcutta,MBA,Marketing,2024,"Bengaluru, Karnataka","Brand Management, Market Research, Digital Marketing, Google Analytics, SEO",Google Digital Marketing Certified,None,https://www.linkedin.com/in/arjun-sen-390
Pooja Kapoor,IIM Calcutta,MBA,Human Resources,2027,"Mumbai, Maharashtra","Talent Acquisition, Employee Engagement, Labor Laws, Performance Management",None,HR Generalist Intern at HDFC Bank (3 Months),https://www.linkedin.com/in/pooja-kapoor-244
Siddharth Sen,IIM Ahmedabad,MBA,Business Analytics,2026,"Mumbai, Maharashtra","Python, SQL, Tableau, Power BI, Predictive Modeling, Machine Learning",Google Data Analytics Professional,Business Analyst Intern at ICICI Bank (2 Months),https://www.linkedin.com/in/siddharth-sen-514
Aarav Mishra,Shaheed Sukhdev College of Business Studies,MBA,Finance,2027,"Hyderabad, Telangana","Financial Modeling, Valuation, Advanced Excel, Corporate Finance, Bloomberg Terminal",CFA Level 1,Marketing Intern at HDFC Bank (5 Months),https://www.linkedin.com/in/aarav-mishra-545
